@relation main-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute close numeric
@attribute HL_PCT numeric
@attribute PCT_change numeric
@attribute volume numeric
@attribute label numeric

@data
0.2,0.951429,0.480019,0.189063,124
0.18,0.163235,0.660662,0.113491,123
0.18,0,0.736337,0.011552,125
0.12,0.895161,0.502636,0.065517,125
0.115,0.270732,0.714977,0.181014,136
0.125,0,0.779404,0.060516,127
0.125,0.1776,0.736337,0.013611,127
0.18,0.734559,0.969415,0.214146,129
0.135,0.786614,0.561061,0.28092,127
0.135,0.174803,0.736337,0.084771,123
0.145,0.344186,0.778047,0.153817,128
0.135,0.262205,0.695273,0.079128,126
0.115,0.180488,0.652916,0.082845,125
0.14,0.260156,0.844004,0.040861,123
0.13,0.17619,0.694952,0.134938,125
0.125,0,0.715316,0.000348,129
0.115,0.270732,0.693959,0.124803,129
0.125,0.3552,0.779404,0.020083,127
0.145,0.172093,0.821093,0.021099,125
0.145,0.25814,0.736337,0.04891,126
0.135,0,0.695273,0.013986,128
0.125,0,0.694626,0.020404,130
0.13,0.352381,0.757526,0.046958,130
0.14,0.173438,0.778378,0.051718,130
0.15,0,0.777722,0.024816,131
0.15,0.085385,0.736337,0.052306,128
0.15,0.341538,0.736337,0.10472,125
0.155,0,0.756711,0.02503,122
0.14,0.346875,0.675682,0.140286,121
0.125,0.2664,0.67426,0.384864,123
0.11,0.090984,0.67277,0.016606,125
0.105,0,0.714627,0.061719,133
0.115,0,0.780116,0.118706,134
0.125,0,0.779404,0.010376,132
0.165,0.834586,0.905848,0.436315,131
0.17,0,0.756251,0.079422,132
0.16,0.168182,0.696805,0.176976,130
0.155,0,0.716272,0.028533,128
0.16,0,0.756555,0.014654,129
0.15,0.341538,0.696206,0.028186,127
0.14,0,0.695589,0.01412,127
0.145,0.25814,0.757029,0.051932,125
0.135,0.087402,0.695273,0.017489,125
0.135,0,0.736337,0.013986,128
0.125,0,0.694626,0.017061,128
0.125,0,0.736337,0.000348,128
0.14,0.346875,0.799904,0.027276,126
0.14,0,0.736337,0.510443,124
0.14,0,0.736337,0.034657,122
0.13,0.088095,0.694952,0.172429,122
0.12,0,0.694295,0.006953,120
0.11,0.181967,0.693617,0.076106,122
0.11,0,0.736337,0.023105,126
0.1,0,0.692917,0.000214,124
0.11,0,0.780481,0.045942,125
0.13,0.17619,0.823177,0.020484,121
0.12,0.447581,0.694295,0.17973,133
0.125,0,0.757697,0.364701,127
0.105,0.366942,0.651581,0.290226,126
0.165,0.834586,0.99901,0.199331,126
0.135,0.524409,0.616851,0.266159,127
0.13,0.17619,0.715482,0.183153,125
0.13,0.088095,0.736337,0.23685,120
0.135,0.087402,0.757358,0.74276,120
0.125,0.2664,0.694626,0.310844,116
0.1,0,0.630392,0.01305,118
0.1,0.0925,0.736337,0.00345,116
0.08,0.191379,0.64805,0.028346,116
0.09,0,0.782003,0.003316,115
0.08,0.09569,0.691445,0.09988,113
0.08,0,0.736337,0.009413,113
0.075,0.096522,0.713504,0.046423,107
0.065,0,0.690274,0.012114,107
0.065,0,0.736337,0.009092,108
0.035,0.414953,0.595703,0.040941,110
0.035,0.207477,0.736337,0.060008,112
0.04,0,0.76109,0.011445,112
0.05,0,0.785385,0.002888,111
0.06,0,0.784494,0.002995,110
0.06,0,0.736337,0.038936,112
0.055,0,0.712689,0.032625,116
0.05,0,0.712476,0.026421,112
0.06,0,0.784494,0,108
0.08,0.191379,0.83093,0.015457,106
0.06,0,0.645005,0.032946,106
0.04,0.205556,0.641744,0.116486,100
0.03,0,0.687289,0.036689,100
0.03,0,0.736337,0.002674,100
0,0.222,0.736337,0.124295,105
0,0,0.736337,0.023746,107
0,0,0.736337,0.037117,107
0.025,0.317143,0.868768,0.025757,115
0.035,0,0.786787,0.031341,116
0.035,0.207477,0.736337,0.031448,118
0.075,0.57913,0.934364,0.023987,124
0.08,0,0.759368,0.003209,130
0.09,0,0.782003,0.022249,134
0.12,0.358065,0.871012,0.162856,136
0.15,0.341538,0.864496,0.14419,132
0.17,0.165672,0.817833,0.212381,130
0.18,0,0.775869,0.033373,128
0.16,0.168182,0.658437,0.35716,123
0.15,0,0.696206,0.014387,111
0.14,0,0.695589,0.000428,102
0.115,0.270732,0.632875,0.024359,107
0.055,1,0.477935,0.132277,108
0.01,0.870588,0.521584,0.510854,104
0.035,0.414953,0.866171,0.720209,109
0.04,0.308333,0.76109,0.189624,107
0.02,0.213462,0.63824,0.080813,?
0.045,0.407339,0.863674,0.617762,?
0.035,0.414953,0.687739,0.649285,?
