date,traded_companies,no_of_transaction,max_price,min_price,closing_price,traded_shares,amount,previous_closing,difference_rs
4/15/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,337.0,327.0,337.0,166.0,55514.0,321.0,16.0
4/18/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,331.0,331.0,331.0,314.0,103934.0,337.0,-6.0
4/19/2012,Arun Valley Hydropower Development Co. Ltd.,44.0,337.0,329.0,330.0,2186.0,724878.0,331.0,-1.0
4/22/2012,Arun Valley Hydropower Development Co. Ltd.,20.0,333.0,327.0,327.0,616.0,204222.0,330.0,-3.0
4/24/2012,Arun Valley Hydropower Development Co. Ltd.,11.0,336.0,330.0,336.0,342.0,113328.0,327.0,9.0
4/25/2012,Arun Valley Hydropower Development Co. Ltd.,3.0,348.0,342.0,348.0,90.0,30966.0,336.0,12.0
4/26/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,382.0,343.0,382.0,1291.0,462144.0,348.0,34.0
4/29/2012,Arun Valley Hydropower Development Co. Ltd.,17.0,390.0,368.0,370.0,909.0,345217.0,382.0,-12.0
5/3/2012,Arun Valley Hydropower Development Co. Ltd.,2.0,363.0,358.0,358.0,262.0,93951.0,370.0,-12.0
5/8/2012,Arun Valley Hydropower Development Co. Ltd.,1.0,365.0,365.0,365.0,31.0,11315.0,358.0,7.0
5/9/2012,Arun Valley Hydropower Development Co. Ltd.,21.0,372.0,329.0,329.0,778.0,270115.0,365.0,-36.0
5/10/2012,Arun Valley Hydropower Development Co. Ltd.,38.0,325.0,311.0,320.0,1628.0,521911.0,329.0,-9.0
5/13/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,315.0,308.0,315.0,775.0,242117.0,320.0,-5.0
5/14/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,310.0,305.0,307.0,638.0,196810.0,315.0,-8.0
5/15/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,326.0,313.0,326.0,399.0,129418.0,307.0,19.0
5/16/2012,Arun Valley Hydropower Development Co. Ltd.,1.0,332.0,332.0,332.0,10.0,3320.0,326.0,6.0
5/17/2012,Arun Valley Hydropower Development Co. Ltd.,11.0,365.0,338.0,358.0,288.0,101836.0,332.0,26.0
5/20/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,351.0,333.0,338.0,2628.0,889774.0,358.0,-20.0
5/21/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,332.0,320.0,323.0,618.0,201909.0,338.0,-15.0
5/22/2012,Arun Valley Hydropower Development Co. Ltd.,28.0,324.0,304.0,304.0,2082.0,646596.0,323.0,-19.0
5/23/2012,Arun Valley Hydropower Development Co. Ltd.,1.0,300.0,300.0,300.0,434.0,130200.0,304.0,-4.0
5/24/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,311.0,305.0,311.0,84.0,25804.0,300.0,11.0
5/27/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,320.0,312.0,312.0,187.0,58935.0,311.0,1.0
5/29/2012,Arun Valley Hydropower Development Co. Ltd.,22.0,306.0,281.0,281.0,697.0,197010.0,312.0,-31.0
5/30/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,276.0,253.0,270.0,1665.0,441295.0,281.0,-11.0
5/31/2012,Arun Valley Hydropower Development Co. Ltd.,2.0,280.0,275.0,280.0,168.0,46510.0,270.0,10.0
