parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'value': 71.8000030518, 'datetime': '2020-03-24T01:40:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 74.5999984741, 'datetime': '2020-03-24T01:41:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.4000015259, 'datetime': '2020-03-24T01:42:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 66.5999984741, 'datetime': '2020-03-24T01:43:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 77.0999984741, 'datetime': '2020-03-24T01:44:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.5999984741, 'datetime': '2020-03-24T01:45:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 63.5, 'datetime': '2020-03-24T01:46:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 67.0999984741, 'datetime': '2020-03-24T01:47:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.3000030518, 'datetime': '2020-03-24T01:48:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 73.8000030518, 'datetime': '2020-03-24T01:49:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.2999992371, 'datetime': '2020-03-24T01:50:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 86.3000030518, 'datetime': '2020-03-24T01:51:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 63, 'datetime': '2020-03-24T01:52:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T01:53:00+00:00', 'value': 70}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.2000045776, 'datetime': '2020-03-24T01:54:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 84, 'datetime': '2020-03-24T01:55:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 79.8000030518, 'datetime': '2020-03-24T01:56:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.2999992371, 'datetime': '2020-03-24T01:57:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 54.4000015259, 'datetime': '2020-03-24T01:58:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.2000007629, 'datetime': '2020-03-24T01:59:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 67.9000015259, 'datetime': '2020-03-24T02:00:00+00:00'}"
